location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,Lift(s),Full Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,locality_score,project_score,builder_experience,Rain Water Harvesting,Intercom,Car Parking,Vaastu Compliant,Indoor Games,Multipurpose Room,Staff Quarter,Cafeteria,School,Maintenance Staff,Shopping Mall,Golf Course,ATM,Hospital
Mundhwa,594,2570000,INR,0,0,0,,1,east,0,0,1,1,0,0,0,0,0,0,0,0,8.6,,,,,,,,,,,,,,,,
Viman Nagar,910,7050000,INR,,0,0,"It’s a 1 bhk builder floor situated in Ideal Groups Landmark, Viman Nagar. It has a built-up area of 910 sqft and is priced at Rs. 70.50 lac . It is an unfurnished property. Its main door is facing east direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. Contact us for more details. ",1,east,0,7,1,0,0,0,0,0,0,0,0,0,9.2,7.0,123.0,,1.0,1.0,,,,,,,,,,,
Wakad,2236,11200000,INR,1,1,0,"A 4 bhk property is available for sale in Wakad, Pune. It has a built-up area of 2236 sqft and is priced at Rs. 1.12 cr . It is facing east direction. This residential property is ready-to-move-in. The site is in close proximity to various civic utilities. Kindly call us for details. ",1,east,0,0,1,1,0,1,1,1,1,1,0,0,9.4,,,,1.0,,,,,,,,,,,,
Baner,3500,47500000,INR,,0,0,"A 3 bhk property is available for sale in Western Hills Phase 1, Baner, Pune. It has a salable area of 3500 sqft and is available at a price of Rs. 13,571 per sqft. It is a furnished property. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. ",1,,1,0,0,0,0,0,0,0,0,0,0,0,9.1,,2022.0,,,,,,,,,,,,,,
Punawale,1100,5345000,INR,,1,0,"This spacious 2 bhk builder floor is available for sale and is located in Kshitej Realtors 24 Life Blooms, one of the most prestigious projects of Punawale. It has an area of 1100 sqft with a carpet area of 800 sqft . The property is available at a price of Rs. 53.45 lac . It is an unfurnished property. This residential complex is under-construction as of now. The expected completion date is 31/10/2024. It is made in way to provide a comfortable living. Please contact us for more details. ",1,east,0,0,1,1,1,1,1,1,1,1,0,0,,,123.0,,1.0,1.0,,,,,,,,,,,
Baner,850,8500000,INR,,0,0,"This spacious 2 bhk builder floor is available for sale and is located in Mittal Group Sun Horizon, one of the most prestigious projects of Baner. It has an area of 850 sqft with a carpet area of 840 sqft . The property is available at a price of Rs. 85.00 lac . The house is unfurnished. It is a 9 year old ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. If you are interested, please contact us for more details. ",1,,0,8,1,1,1,0,1,1,1,0,1,0,9.1,,24.0,1.0,,1.0,1.0,,1.0,1.0,,,,,,,
Wakad,3000,32500000,INR,,1,0,"It’s a 4 bhk builder floor situated in Kasturi Housing Epitome, Wakad. It has an area of 3000 sqft with a carpet area of 2400 sqft . The property is available at a price of Rs. 3.25 cr . It is an unfurnished property. It is an under-construction property . It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,east,0,0,1,1,1,1,1,1,1,1,1,0,9.4,8.5,23.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,
Balewadi,2270,17840260,INR,,1,0,"It’s a 3 bhk builder floor situated in Gagan Developers Klara, Balewadi, Pune. The house is unfurnished. Its main door is facing east direction. This residential complex is under-construction as of now. The expected completion date is 01/09/2023. It is made in way to provide a comfortable living for the residents. Please contact for more details. ",1,east,0,0,1,1,1,1,1,1,1,1,1,1,8.8,,123.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,1.0,,,
Wadgaon Sheri,1293,8400000,INR,,0,0,"Well designed 2 bhk builder floor is available at a prime location in Wadgaon Sheri. It has an area of 1293 sqft with a carpet area of 924 sqft . The property is available at a price of Rs. 84.00 lac . It is east facing property. It is a 5 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1,east,0,5,1,1,0,1,1,1,1,1,0,0,,,,,1.0,,,,,,,,,,,,
Kondhwa,3700,21500000,INR,,0,0,"A 4 bhk property is available for sale in Sobha Limited Carnation, Kondhwa, Pune. It has a salable area of 3700 sqft and is available at a price of Rs. 5,810 per sqft. The house is furnished. Furnishings include 1 tv, 1 refrigerator, 1 sofa, 1 washing machine, 1 microwave, 1 dining table, 1 gas connection, 1 ac and 1 bed. It has gated_community. Other amenities include intercom, club house, power backup, community hall, children's play area, lift available, swimming pool, gymnasium and cctv. Its main door is facing east direction. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Contact us for more details. ",1,east,1,11,1,1,1,1,1,1,1,1,1,0,8.8,8.5,27.0,,1.0,1.0,,,1.0,,1.0,,,,,,
